t,accel_x,pitch_pos,x1_hat,x2_hat
0.0009493827819824219,-0.10197830200195312,0.2,3.4031954196166996e-06,-0.00020165377077941893
0.0031652450561523438,-0.14986228942871094,0.19999995007008273,7.993493568073595e-06,-0.000498505030944332
0.005338430404663086,-0.07324790954589844,0.19999982663914034,9.422199619908174e-06,-0.0006444728988701943
0.007527589797973633,-0.1307086944580078,0.19999966706623273,1.2471063194238677e-05,-0.0009040974365927665
0.009766817092895508,-0.19774627685546875,0.1999994432097184,1.7228103047561737e-05,-0.00129650681248477
0.012038707733154297,-0.07324790954589844,0.19999912219177932,1.703087789946558e-05,-0.0014431171080073921
0.014264822006225586,-0.1594390869140625,0.19999876487280852,1.941128508731722e-05,-0.0017596644657671121
0.0164334774017334,-0.16901588439941406,0.19999832917601554,2.146632060151173e-05,-0.002094986095078801
0.01859736442565918,-0.06367111206054688,0.19999781045284942,1.932259675630055e-05,-0.002221672300610457
0.020775318145751953,-0.06367111206054688,0.1999972603619001,1.6920749359313415e-05,-0.002347284477314176
0.02297377586364746,-0.19774627685546875,0.1999966791690995,1.8737290969242844e-05,-0.0027368644139249216
0.025142192840576172,-0.04451751708984375,0.1999960015154495,1.4646548807651835e-05,-0.002822883672825658
0.02732539176940918,-0.16901588439941406,0.19999530256324177,1.453527176326404e-05,-0.0031535005281057523
0.029510021209716797,-0.1594390869140625,0.1999945217495733,1.3430767224209665e-05,-0.003464163505647392
0.031796932220458984,-0.12113189697265625,0.19999366401506816,1.0414907518894942e-05,-0.00369779618071151
0.034033775329589844,-0.015787124633789062,0.19999274843259865,3.4074800259530864e-06,-0.003721442904429837
0.03623008728027344,-0.16901588439941406,0.19999182699514834,1.4653856532746677e-06,-0.004045733945678885
0.03843116760253906,-0.17859268188476562,0.19999082526252276,-8.178581731096637e-07,-0.0043873680776144565
0.04063987731933594,-0.03494071960449219,0.19998973894053454,-8.5911014523249e-06,-0.004443185365941832
0.042823076248168945,-0.17859268188476562,0.19998863879806292,-1.1684153827525813e-05,-0.0047803647556473065
0.04502463340759277,-0.07324790954589844,0.1999874551692326,-1.8979750754917854e-05,-0.004907226026257161
0.04727053642272949,-0.06367111206054688,0.1999862401292726,-2.6853422516996246e-05,-0.005012396993235956
0.04949188232421875,-0.21689987182617188,0.1999849990487498,-2.9827867067011134e-05,-0.005417688343509489
0.05162334442138672,-0.08282470703125,0.19998365761719705,-3.810241826998501e-05,-0.005555686254938231
0.05374908447265625,-0.1881694793701172,0.1999822820170578,-4.3142600202183284e-05,-0.005898889937085142
0.05594658851623535,-0.06367111206054688,0.19998082143893184,-5.303679037632344e-05,-0.0059932486146956785
0.058077335357666016,-0.14028549194335938,0.1999793374973897,-6.056647996198829e-05,-0.00623560278856008
0.06027531623840332,-0.10197830200195312,0.1999777935484209,-6.986834530642598e-05,-0.006399035947348904
0.06247448921203613,-0.16901588439941406,0.19997620913304245,-7.726604412749994e-05,-0.006691515431335223
0.0646662712097168,-0.04451751708984375,0.19997455229910033,-8.941440047340138e-05,-0.006734532258125199
0.06699275970458984,-0.2073230743408203,0.19997288481409725,-9.621729575918142e-05,-0.007095398450372541
0.06922364234924316,-0.0062103271484375,0.19997112797783106,-0.00011046694340611483,-0.007055294312244703
0.07141637802124023,-0.11155509948730469,0.19996938107143772,-0.00012111933828270621,-0.007218977406295333
0.07354927062988281,-0.09240150451660156,0.19996759363675018,-0.00013274442716508254,-0.007340830077660343
0.07566714286804199,-0.16901588439941406,0.19996577603107313,-0.00014206103455980534,-0.007610032818106263
0.07781553268432617,0.0033664703369140625,0.1999638917702053,-0.00015767884597567584,-0.007534530081797334
0.07995891571044922,-0.015787124633789062,0.19996202620398107,-0.0001725036311486535,-0.007492037783782256
0.08209800720214844,-0.11155509948730469,0.19996017115894332,-0.00018404589225507734,-0.007634215090255774
0.08430123329162598,-0.07324790954589844,0.1999582809104917,-0.00019715621843033578,-0.007696461160221567
0.0866086483001709,-0.2839374542236328,0.19995637524977622,-0.0002033622902541244,-0.00817087285958271
0.08884048461914062,-0.025363922119140625,0.19995435212368026,-0.0002191640312989936,-0.008130547987315214
0.0911092758178711,-0.19774627685546875,0.1999523389821114,-0.00022913090771625204,-0.008426066696705599
0.09337019920349121,0.03209686279296875,0.19995025266945995,-0.00024737017454963414,-0.008262966038234586
0.09557080268859863,-0.1881694793701172,0.19994820674089037,-0.0002579264477593557,-0.008529965555831525
0.09771513938903809,-0.22647666931152344,0.19994609470265282,-0.00026774835499707985,-0.008868483642966756
0.09984421730041504,0.012943267822265625,0.19994389884659217,-0.00028624985860881624,-0.008729364761435406
0.10199761390686035,-0.2073230743408203,0.19994173743667262,-0.00029711723154464225,-0.00902018951556202
0.1041717529296875,-0.03494071960449219,0.19993950401790414,-0.00031432986342412616,-0.008965739461652284
0.10642528533935547,-0.2073230743408203,0.1999372840810888,-0.0003256788505729117,-0.009246715219229866
0.10863113403320312,-0.0062103271484375,0.19993499457405775,-0.00034431181306491615,-0.009125476460381008
0.11082911491394043,-0.12113189697265625,0.19993273508601012,-0.00035886261614830777,-0.009225774803125027
0.1130228042602539,-0.10197830200195312,0.19993045076387217,-0.00037425696660256037,-0.009283160605041764
0.11526775360107422,-0.07324790954589844,0.1999281522328834,-0.0003907270245747841,-0.009278548949713066
0.11751961708068848,-0.11155509948730469,0.19992585484375064,-0.0004059093079354243,-0.009344334557516919
0.1196756362915039,-0.08282470703125,0.19992354116595668,-0.0004221844134455831,-0.009348166891371648
