x,y,z
-3.156635311765780272e-01,-6.433615337551218394e-02,-1.933940557152209194e-01
-3.148198630574849943e-01,-6.489427279551035488e-02,-1.924246576953381749e-01
-3.139855340072614798e-01,-6.542329954947584403e-02,-1.914505991967634102e-01
-3.132007365862908843e-01,-6.604381575658008208e-02,-1.903811398025610779e-01
-3.123390745839840776e-01,-6.646953923290060962e-02,-1.894102628353263873e-01
-3.115162008070795907e-01,-6.695016222086452862e-02,-1.885086613663464195e-01
-3.108827392847014481e-01,-6.744725112451627203e-02,-1.875898368172728425e-01
-3.100972754177601098e-01,-6.787637705964838508e-02,-1.867478513968498788e-01
-3.092298441693429600e-01,-6.815874430549490048e-02,-1.859795392986639262e-01
-3.082621982176222963e-01,-6.820733512750093430e-02,-1.852303223958756961e-01
-3.072182137889418185e-01,-6.838611785041764923e-02,-1.845778362764123881e-01
-3.062034604324495590e-01,-6.846484383570755616e-02,-1.839038824464383215e-01
-3.050682452826729563e-01,-6.860732170084643533e-02,-1.832370670249458267e-01
-3.039185049613116751e-01,-6.846367249592505422e-02,-1.823618148419982321e-01
-3.026070655256485331e-01,-6.840522685256184010e-02,-1.815422826511300103e-01
-3.015944610981822760e-01,-6.844419136492424505e-02,-1.806526819362546110e-01
-3.001836778202713885e-01,-6.845695136690638227e-02,-1.799003537914571071e-01
-2.992458925000358039e-01,-6.844666470666455060e-02,-1.789904076145244771e-01
-2.982136163662968409e-01,-6.858536884958071900e-02,-1.779828029792789867e-01
-2.971769278480609344e-01,-6.887008494891760924e-02,-1.770961987977331398e-01
-2.961324631786227957e-01,-6.910696416246947527e-02,-1.762060086774472067e-01
-2.951768708861829960e-01,-6.937763649106715169e-02,-1.752200740423231762e-01
-2.939952856402265891e-01,-6.962665972282161553e-02,-1.744315663420575313e-01
-2.928239194577024751e-01,-6.984942296938351225e-02,-1.736547546824067367e-01
-2.914920378861581285e-01,-6.998495555337574947e-02,-1.729419585931436520e-01
-2.909039969501983625e-01,-7.015972300552680840e-02,-1.719899482051792661e-01
-2.902785041472044636e-01,-7.051360684686164282e-02,-1.709542878525266152e-01
-2.891621966882160222e-01,-7.089947628053833162e-02,-1.701330865641054180e-01
-2.877529064799249081e-01,-7.110707317686942863e-02,-1.695936899436740475e-01
-2.865513038212375574e-01,-7.137289063609303374e-02,-1.689093716553916047e-01
-2.847639623730679470e-01,-7.153797820012636199e-02,-1.683887168737826234e-01
-2.839179519702198506e-01,-7.196547946409642682e-02,-1.674298200298590389e-01
-2.827313542443670169e-01,-7.241056780492444167e-02,-1.667694467719445239e-01
-2.822689438270731821e-01,-7.262144856866820097e-02,-1.658731133661835722e-01
-2.802968237157613673e-01,-7.308738584070967326e-02,-1.653576160173190202e-01
-2.788977167936568247e-01,-7.358575316466881011e-02,-1.645485795836965359e-01
-2.777346004442269312e-01,-7.391329621731562716e-02,-1.637925910996657353e-01
-2.765390431532923632e-01,-7.427630672831936343e-02,-1.630052905592670742e-01
-2.754721259552819213e-01,-7.465632361756208146e-02,-1.621055510391379295e-01
-2.742906493409088542e-01,-7.499757306971582826e-02,-1.613316127940846723e-01
-2.732809013560828504e-01,-7.532621592424243451e-02,-1.605201728562161978e-01
-2.721358358022566426e-01,-7.560714720581968029e-02,-1.597273261684144796e-01
-2.710127980242571510e-01,-7.600633647085425215e-02,-1.588085108057928074e-01
-2.697856342878681701e-01,-7.636855738901976443e-02,-1.580585943710910712e-01
-2.687297402343987729e-01,-7.675308329319635581e-02,-1.573108339368835262e-01
-2.674733041978809012e-01,-7.714390352607919388e-02,-1.566051291053943140e-01
-2.663565511979081868e-01,-7.753711925903500335e-02,-1.557396308534700902e-01
-2.651028959615448488e-01,-7.780483651963171488e-02,-1.550742833878671900e-01
-2.646109331212339044e-01,-7.806286183334693041e-02,-1.541987018430772405e-01
-2.626839129349703983e-01,-7.849619802793300627e-02,-1.536438178602741178e-01
-2.612162441997293305e-01,-7.899892596914431797e-02,-1.529351183417933802e-01
-2.600306136769627852e-01,-7.926373666535807549e-02,-1.522691321814505783e-01
-2.587983101670883745e-01,-7.956652668566815967e-02,-1.516375300103846857e-01
-2.574700159349912476e-01,-7.982779817124358024e-02,-1.509257444268735648e-01
-2.562294846763978340e-01,-8.021106589837762035e-02,-1.501485443267999986e-01
-2.549302644969503873e-01,-8.049196018134624486e-02,-1.495532958481154417e-01
-2.535286251066680152e-01,-8.081500503833444204e-02,-1.489810865284445784e-01
-2.520994529015852526e-01,-8.113582718628448154e-02,-1.483151560958484438e-01
-2.507153077821214215e-01,-8.151911551610518947e-02,-1.475910903964390009e-01
-2.492903430288875288e-01,-8.185110505355458477e-02,-1.470458013942981812e-01
-2.478392962536284383e-01,-8.215037835226451923e-02,-1.465089603371558524e-01
-2.463473277181391086e-01,-8.251106812499292564e-02,-1.459320711697735529e-01
-2.458504875252356947e-01,-8.277718410651940806e-02,-1.450046869752119882e-01
-2.439250670956243927e-01,-8.326864744451695222e-02,-1.445804871965203076e-01
-2.421017258239644976e-01,-8.368902082338708359e-02,-1.441392636143664363e-01
-2.405684992457485794e-01,-8.406402313328248388e-02,-1.435684002773774948e-01
-2.389886263228228613e-01,-8.444425467845201316e-02,-1.430749317048298774e-01
-2.376893190386642485e-01,-8.499457333535959114e-02,-1.423931117266561686e-01
-2.371963790464847732e-01,-8.525983122463903774e-02,-1.415884265593586877e-01
-2.350105924757798226e-01,-8.578587339081605867e-02,-1.412693520050312124e-01
-2.329294899126692631e-01,-8.641497173107198781e-02,-1.408902953626043619e-01
-2.324670851744540245e-01,-8.694210791943651762e-02,-1.398992245602405371e-01
-2.301569249389368021e-01,-8.750963106840797812e-02,-1.397639931304183736e-01
-2.283933447271954131e-01,-8.815359522193316755e-02,-1.391016687387336692e-01
-2.268842851193246801e-01,-8.873589914035123760e-02,-1.385154541311420517e-01
-2.255226285060763503e-01,-8.933943879026967627e-02,-1.377953166797854234e-01
-2.238835052882275356e-01,-8.971580221306479919e-02,-1.374609533635695324e-01
-2.223871867381601031e-01,-9.018597642480136178e-02,-1.368637622387266772e-01
-2.207705128204955347e-01,-9.065584102923723853e-02,-1.363831965206232788e-01
-2.191892504691837495e-01,-9.103164629131560437e-02,-1.359955392396384466e-01
-2.185490133872325380e-01,-9.129551251954642899e-02,-1.351670772185221969e-01
-2.164284118472579177e-01,-9.195149579017319885e-02,-1.347718527912001030e-01
-2.145511707539707325e-01,-9.249463143265396203e-02,-1.344161239326669699e-01
-2.131821386335576718e-01,-9.307609345357720221e-02,-1.337705531119587621e-01
-2.117790235000604482e-01,-9.366550950244428853e-02,-1.330809946917870523e-01
-2.101187326149194790e-01,-9.424520429271948663e-02,-1.325556659388114344e-01
-2.086240961091930801e-01,-9.475283907965431629e-02,-1.320730218221993213e-01
-2.071139088980185061e-01,-9.532150926074484110e-02,-1.314773714976324726e-01
-2.055711943540642905e-01,-9.573270863579880219e-02,-1.309018440458733223e-01
-2.039918517773391948e-01,-9.623303781204833873e-02,-1.304186901152359357e-01
-2.023721393919127309e-01,-9.668347836564622488e-02,-1.300060271601613526e-01
-2.007479384747850593e-01,-9.723523241381920590e-02,-1.296562775874311180e-01
-1.992210383838465271e-01,-9.780116489041551509e-02,-1.291239560116662910e-01
-1.976781716525490284e-01,-9.831036796708753078e-02,-1.286804165654917009e-01
-1.961649564164479886e-01,-9.885368407261635459e-02,-1.282789541833801172e-01
-1.945225748196539595e-01,-9.955376136028876166e-02,-1.278791895760446884e-01
-1.931346696836239163e-01,-1.002727992128197854e-01,-1.273275568371503852e-01
-1.915611107397326984e-01,-1.008762834591551694e-01,-1.269467429001013004e-01
-1.899064647359156033e-01,-1.013910574063520698e-01,-1.266189964862514949e-01
-1.884241283990342186e-01,-1.019833441639361182e-01,-1.262193387609474027e-01
-1.869311779864853973e-01,-1.026326352976755785e-01,-1.258273894237122992e-01
-1.861598290892317875e-01,-1.030171539103212353e-01,-1.252808773602513137e-01
-1.841147661502111066e-01,-1.036221373940610646e-01,-1.251943484138051677e-01
-1.820914817601953506e-01,-1.042281404642481646e-01,-1.251362414153484037e-01
-1.814202011794641134e-01,-1.046368721995979967e-01,-1.245934420812579713e-01
-1.794883787392120289e-01,-1.053325514409592656e-01,-1.244586162966467568e-01
-1.773697104273062597e-01,-1.060450117979207518e-01,-1.245637740211472944e-01
-1.755608824382952071e-01,-1.067431339010899705e-01,-1.245623180864941781e-01
-1.738127983127620846e-01,-1.073158739032117892e-01,-1.245343202740737676e-01
-1.720612589339773901e-01,-1.078179244400673809e-01,-1.245264087575137790e-01
-1.704084362920293416e-01,-1.083233377096934347e-01,-1.244912339354819208e-01
-1.686321957612357814e-01,-1.088287198815426904e-01,-1.245113460663700156e-01
-1.669012326112792044e-01,-1.092774291463091685e-01,-1.245712301668638333e-01
-1.651925348795970083e-01,-1.096321771568521952e-01,-1.245727209956424275e-01
-1.635458379401174001e-01,-1.099406239867403712e-01,-1.245720064977078878e-01
-1.618525552398691891e-01,-1.102709720459946197e-01,-1.246137905711427740e-01
-1.601363591284262200e-01,-1.105618829134148995e-01,-1.247059290488890249e-01
-1.584234885867517595e-01,-1.108285598812467909e-01,-1.247941321879303123e-01
-1.566636579666638718e-01,-1.111069843033236082e-01,-1.249291867415960322e-01
-1.555557937376085276e-01,-1.111339406381039452e-01,-1.248350378902279012e-01
-1.530500192929564740e-01,-1.113262133910035145e-01,-1.252251429318095299e-01
-1.506965764172078504e-01,-1.115209999182188993e-01,-1.254139941759387644e-01
-1.494230302110408082e-01,-1.114895935012868988e-01,-1.253114893207432912e-01
-1.468563347134726471e-01,-1.117562221421532498e-01,-1.257396098533998252e-01
-1.445849589195286056e-01,-1.119161239121532758e-01,-1.261701773224505052e-01
-1.426579479691651997e-01,-1.119796648491710456e-01,-1.264603773798302910e-01
-1.416749399434788503e-01,-1.116296238019608977e-01,-1.264444778373758627e-01
-1.400358616434304038e-01,-1.114421221118532812e-01,-1.266788479805742440e-01
-1.370410669098353074e-01,-1.116470335373457856e-01,-1.274285354524360703e-01
