x,y,z
-1.824001487878059158e-01,-1.108447239243218890e-01,-1.311211860569304888e-01
-1.814614325228162683e-01,-1.108953877608177679e-01,-1.303265879615773670e-01
-1.806569603141571778e-01,-1.109790616846749872e-01,-1.293534733546934101e-01
-1.800078320029636081e-01,-1.109399458590102500e-01,-1.284788629244826286e-01
-1.789829295604007942e-01,-1.109408294678141532e-01,-1.278651742177956963e-01
-1.780382765617073981e-01,-1.108974594299269173e-01,-1.273826549966809996e-01
-1.768862984013827577e-01,-1.107919863338974326e-01,-1.269548755300954623e-01
-1.757034731058998989e-01,-1.106732154469275559e-01,-1.266753692036465262e-01
-1.746145622843985890e-01,-1.104508417308393137e-01,-1.263361839806648179e-01
-1.734168309899121740e-01,-1.102266645912525350e-01,-1.260843468220591013e-01
-1.722698461774660461e-01,-1.099998328865149505e-01,-1.257781261807324469e-01
-1.711569651693482519e-01,-1.097973110178290940e-01,-1.253479589567025598e-01
-1.699858007984761943e-01,-1.095728695057655161e-01,-1.249900423469028077e-01
-1.689525715558359287e-01,-1.092897126130448898e-01,-1.245110544535709685e-01
-1.680167702894541093e-01,-1.089473922775793385e-01,-1.238807763872903922e-01
-1.670237689050117491e-01,-1.086661117700694762e-01,-1.232612103424601258e-01
-1.662390558564407761e-01,-1.085026780686110387e-01,-1.225923317483418873e-01
-1.653555250202962124e-01,-1.083471011801270395e-01,-1.218669398371610424e-01
-1.643492236635212822e-01,-1.082505357971829257e-01,-1.211870870541734702e-01
-1.632831023473372833e-01,-1.080893564053026085e-01,-1.205839363815637832e-01
-1.620126619484584807e-01,-1.078532387367307083e-01,-1.199511865323353854e-01
-1.607293859783338053e-01,-1.077902724913263471e-01,-1.193242307501814203e-01
-1.595148748590664023e-01,-1.076482447278962612e-01,-1.186791703545749810e-01
-1.583994020635550171e-01,-1.074745496958072893e-01,-1.179674523570654887e-01
-1.573575656814733548e-01,-1.074772628751675813e-01,-1.172358052580582122e-01
-1.564080114751948414e-01,-1.076761519778782900e-01,-1.163601512526177273e-01
-1.555308168015076542e-01,-1.077707488028781940e-01,-1.155131267825803831e-01
-1.544957780863286945e-01,-1.079032063048529638e-01,-1.147808945923743384e-01
-1.534410977142350307e-01,-1.081371487809800330e-01,-1.140717002722367590e-01
-1.523539677616131960e-01,-1.083350309539262840e-01,-1.133503372533375686e-01
-1.512219601943056158e-01,-1.084499991119653034e-01,-1.127239309282863089e-01
-1.500805495268195400e-01,-1.085751398281761398e-01,-1.121770416055114239e-01
-1.488786860002137558e-01,-1.086231065490691622e-01,-1.116644954563870695e-01
-1.475472468441884621e-01,-1.086556535207895552e-01,-1.112065367515489567e-01
-1.462623543115899039e-01,-1.085538750988947060e-01,-1.107568370052094686e-01
-1.449804105422884404e-01,-1.083320832596811473e-01,-1.103261426299947945e-01
-1.437625789305120860e-01,-1.081945313994555763e-01,-1.098730576413985416e-01
-1.426285489249933813e-01,-1.079993843195680286e-01,-1.093932800286798457e-01
-1.414789057441454001e-01,-1.076241409402575316e-01,-1.088129115876038666e-01
-1.402801408263134042e-01,-1.071724285254033321e-01,-1.082269322705655679e-01
-1.390640416104426680e-01,-1.066911097774955325e-01,-1.076830484768800111e-01
-1.378320253944886331e-01,-1.062686278697903136e-01,-1.071354354902128714e-01
-1.366260363470765404e-01,-1.058710205284659894e-01,-1.064338281696272648e-01
-1.355548296427435129e-01,-1.055160863333911708e-01,-1.056537926717937004e-01
-1.343649305851117304e-01,-1.052816551376713067e-01,-1.050038785311815104e-01
-1.333969961880327459e-01,-1.052647000321366294e-01,-1.042893260992118210e-01
-1.321660759743303326e-01,-1.053975375876555903e-01,-1.035919467821385109e-01
-1.309953162518710523e-01,-1.053907411212374884e-01,-1.029373666902610174e-01
-1.296980014437518203e-01,-1.054630016742507254e-01,-1.024209546074648924e-01
-1.284943597044518326e-01,-1.056953204553868902e-01,-1.019033621161161696e-01
