x,y,z
-2.660898671070761057e-01,-3.488098375643133853e-02,-2.537040287073214495e-01
-2.652137082145339941e-01,-3.508202327758269679e-02,-2.535173975576858751e-01
-2.644158309036326315e-01,-3.585425848966761198e-02,-2.528519867510161667e-01
-2.635664148388605077e-01,-3.632693277887455441e-02,-2.524184610418029329e-01
-2.627483017701641166e-01,-3.679101850856458800e-02,-2.521370882594566321e-01
-2.619608608367964830e-01,-3.715496793751260629e-02,-2.516904065621127229e-01
-2.612423466017404494e-01,-3.757920817249005285e-02,-2.511676633070819564e-01
-2.603886611915015026e-01,-3.788079241752939641e-02,-2.508503713405108027e-01
-2.595567695819988585e-01,-3.824513953744379524e-02,-2.504749414901880633e-01
-2.588023168186436851e-01,-3.851528746491805766e-02,-2.500840632597355895e-01
-2.579715433571693195e-01,-3.879510857075640917e-02,-2.497632894689309213e-01
-2.571974645839567031e-01,-3.923853581830727411e-02,-2.493566958553750379e-01
-2.564764619067690377e-01,-3.957575024916970552e-02,-2.489663722599168294e-01
-2.555926062465606052e-01,-3.990162437068101031e-02,-2.487868415479659034e-01
-2.547700016726943684e-01,-4.007063741429572890e-02,-2.487529405820011474e-01
-2.538801764409704398e-01,-4.017423130605479731e-02,-2.487043197895954239e-01
-2.529852176133809971e-01,-4.026315760049314907e-02,-2.487986138799179181e-01
-2.520451646291072545e-01,-4.021658316034770753e-02,-2.488499577526453732e-01
-2.512825999497999563e-01,-4.025521974331003339e-02,-2.487162223215072243e-01
-2.505189857604637749e-01,-4.011164508277886842e-02,-2.486981146971378454e-01
-2.495115761507304963e-01,-3.990264387070496799e-02,-2.486938967499769393e-01
-2.486388557318455761e-01,-4.007897085982403684e-02,-2.485426539806466772e-01
-2.478892390992643024e-01,-4.009180684788404836e-02,-2.483845593330109014e-01
-2.470944124594086078e-01,-4.020562822643392042e-02,-2.483844960287243941e-01
-2.463307241316364249e-01,-4.033774119378741307e-02,-2.482199968797935974e-01
-2.454922219908738934e-01,-4.033463484420984901e-02,-2.480077297934104863e-01
-2.445767612272196079e-01,-4.024670034342758829e-02,-2.478538826662852468e-01
-2.436815588157097423e-01,-4.024103151352964591e-02,-2.478401943127248874e-01
-2.427255723075227856e-01,-4.039746536343458150e-02,-2.477864494022218589e-01
-2.417925360710623806e-01,-4.041414187224401378e-02,-2.477936697039533620e-01
-2.408157520698137599e-01,-4.047262401087625694e-02,-2.477351153595708233e-01
-2.399906130542987515e-01,-4.076954150090472684e-02,-2.474772182044311097e-01
-2.392317347709700392e-01,-4.071239895199163517e-02,-2.473463445198702815e-01
-2.381460269447226996e-01,-4.092576383089963077e-02,-2.472523917081383971e-01
-2.373100596460441247e-01,-4.109291505599632632e-02,-2.470220082613484858e-01
-2.366607376119844730e-01,-4.125679013668304140e-02,-2.468059340817926883e-01
-2.355740249202876169e-01,-4.158166517149386454e-02,-2.464681596255838547e-01
-2.347854848256828442e-01,-4.167737165101670360e-02,-2.462090960995101108e-01
-2.336841428203396687e-01,-4.176924948046167874e-02,-2.459949185003430239e-01
-2.324332203920638773e-01,-4.193594774255171576e-02,-2.460813029231457283e-01
-2.312411898232347718e-01,-4.194629597025134604e-02,-2.462720612159544908e-01
-2.301349514565533272e-01,-4.223694064284455596e-02,-2.461046738668494493e-01
-2.294076546362143199e-01,-4.228297641734990453e-02,-2.459333595746077961e-01
-2.286154056213412500e-01,-4.242947045527689642e-02,-2.456765832540923344e-01
-2.279133346122186876e-01,-4.256042288463313117e-02,-2.452430733641320082e-01
-2.270899268262370763e-01,-4.254819745350701954e-02,-2.451248844673970806e-01
-2.263276251769325564e-01,-4.309709054740029632e-02,-2.445851179481104698e-01
-2.255279214509295915e-01,-4.304212179405653149e-02,-2.440964709070410632e-01
-2.245612794486947505e-01,-4.321407863769100022e-02,-2.436693965125626138e-01
-2.238729959991211937e-01,-4.365097654315175379e-02,-2.431286679614257373e-01
-2.229384723900253440e-01,-4.386796484946231534e-02,-2.427390202157554966e-01
-2.217938579068773897e-01,-4.404244257438805210e-02,-2.422996562559645850e-01
-2.208761446574274978e-01,-4.437615392802041203e-02,-2.418792951392285395e-01
-2.199980221355837817e-01,-4.494197936567989604e-02,-2.413716315094433795e-01
-2.189632226895640299e-01,-4.528987708624498953e-02,-2.409211467035332066e-01
-2.179387411985818090e-01,-4.566064047241280566e-02,-2.404013411687033197e-01
-2.170415358817028295e-01,-4.601140322243868486e-02,-2.399295980152331698e-01
-2.159575288575240060e-01,-4.638315007845872362e-02,-2.394943560856470366e-01
-2.149625313685779027e-01,-4.668659482404813321e-02,-2.390029765751722490e-01
-2.140992593172250102e-01,-4.716440025972989947e-02,-2.383788810304926231e-01
-2.131075288184298144e-01,-4.750357083896628030e-02,-2.378075664365528752e-01
-2.122432048501614044e-01,-4.797455616292911618e-02,-2.371924081252247407e-01
-2.113570030788383680e-01,-4.790437631080124437e-02,-2.367724677283309653e-01
-2.102176955280627979e-01,-4.843573051172012089e-02,-2.361869701105873964e-01
-2.094207514626080235e-01,-4.853421328291063208e-02,-2.355791253735141366e-01
-2.084935856218407824e-01,-4.869430921485939923e-02,-2.350161320654126362e-01
-2.076085049019443796e-01,-4.888246342663038480e-02,-2.344891756288458029e-01
-2.068926846309311895e-01,-4.913123868585878018e-02,-2.339815310060895936e-01
-2.058137110268403736e-01,-4.924020568879428073e-02,-2.334951522761474496e-01
-2.048058133735638497e-01,-4.935753459127945053e-02,-2.330884827676284188e-01
-2.038880531726998124e-01,-4.960825221646214533e-02,-2.325605795602942449e-01
-2.029088091618672651e-01,-4.974947652454730918e-02,-2.320116101704100264e-01
-2.018983753684058802e-01,-4.990691542083969257e-02,-2.313817666599024547e-01
-2.009757693590246141e-01,-4.993730976987909020e-02,-2.307536420775431474e-01
-2.000992459401489953e-01,-5.017528049169517335e-02,-2.300784441406772685e-01
-1.993062413005358136e-01,-5.059243146712255612e-02,-2.295502462151551570e-01
-1.983715046130236082e-01,-5.077920674696134729e-02,-2.290677180730709972e-01
-1.974432702699386311e-01,-5.097865029817427729e-02,-2.286128753050034601e-01
-1.963755373423554662e-01,-5.142901175671454883e-02,-2.281285518970460335e-01
-1.954958466059344979e-01,-5.150239327507943887e-02,-2.276261138407471296e-01
-1.947335854061754135e-01,-5.163042801200579124e-02,-2.270702914371067471e-01
-1.936838180490831895e-01,-5.258766559974514809e-02,-2.262655499484637900e-01
-1.928692707304909271e-01,-5.282987561485452677e-02,-2.257172060183195994e-01
-1.919611554284557098e-01,-5.303151920035997779e-02,-2.251387638050589002e-01
-1.911342304684748306e-01,-5.304550045190759011e-02,-2.246027671122558800e-01
-1.903327969010230603e-01,-5.312031673157779910e-02,-2.240721593659953936e-01
-1.894219923249870208e-01,-5.370176175125351836e-02,-2.232976624059974380e-01
-1.886608437195120280e-01,-5.375402558920339136e-02,-2.227939438618495582e-01
-1.877413667674786568e-01,-5.403071378354173948e-02,-2.222164174238814571e-01
-1.868913531483169521e-01,-5.410758092909617734e-02,-2.217984103263229978e-01
-1.860467386997649575e-01,-5.427954479994234749e-02,-2.213837980744937095e-01
-1.851212610203584741e-01,-5.433601493784057102e-02,-2.209379034629762872e-01
-1.844359034620595694e-01,-5.417111279661501744e-02,-2.206899778686660929e-01
-1.837203742071879531e-01,-5.403136883898007614e-02,-2.203411613029472027e-01
-1.824760254861856890e-01,-5.485156714797778665e-02,-2.195484680104606012e-01
-1.816574038871315855e-01,-5.507518360228147447e-02,-2.191676134584923386e-01
-1.807445579264690960e-01,-5.539270004580132412e-02,-2.186946323730286912e-01
-1.799651445661612503e-01,-5.562519543671762268e-02,-2.182802782177075407e-01
-1.793098290910132286e-01,-5.590016816927356746e-02,-2.178295469577613830e-01
-1.784622799187073894e-01,-5.603900816657614303e-02,-2.173630266517664889e-01
-1.779281455582769067e-01,-5.605207912058240982e-02,-2.167254826252867084e-01
-1.770799461842584299e-01,-5.607913748940529519e-02,-2.164137272698110903e-01
-1.760928288055537139e-01,-5.613911359438905624e-02,-2.161589974695447836e-01
-1.753133816443897541e-01,-5.611025642753031395e-02,-2.158408183465286567e-01
-1.745585884350646655e-01,-5.633816691217685690e-02,-2.152933850680771311e-01
-1.738049951356289702e-01,-5.653602295248483234e-02,-2.148000748916719937e-01
-1.731561124148876529e-01,-5.662278102083118103e-02,-2.143282705576219638e-01
-1.723975875253321299e-01,-5.679474732868350362e-02,-2.138801654564534693e-01
-1.715800154817410106e-01,-5.695171072073990093e-02,-2.134717026556281760e-01
-1.707524440516454689e-01,-5.707312853098145400e-02,-2.131491751593737882e-01
-1.698226897976888861e-01,-5.733944099351540036e-02,-2.127432008488283621e-01
-1.690447403014774252e-01,-5.756321091149285696e-02,-2.122868762210011195e-01
-1.682535654875508269e-01,-5.774989568492305825e-02,-2.119218300062057081e-01
-1.673515735795946813e-01,-5.796875951303281926e-02,-2.115222359827842180e-01
-1.665785311404546221e-01,-5.809188998967595996e-02,-2.112726703293079933e-01
-1.657633956809198006e-01,-5.836699733812278357e-02,-2.108756772838296378e-01
-1.649153036890669832e-01,-5.846765987166258061e-02,-2.105972944122959378e-01
-1.641686605471924798e-01,-5.842735480015737171e-02,-2.103540288094441768e-01
-1.634049809796936925e-01,-5.865979334847815085e-02,-2.099445516884050067e-01
-1.627011272145110210e-01,-5.891363004189298369e-02,-2.096130098675916265e-01
-1.620333506508190302e-01,-5.894775339081637089e-02,-2.092756227208293629e-01
-1.611833564666534380e-01,-5.896704369663574585e-02,-2.088523312170727786e-01
-1.603866422154660576e-01,-5.900936812375967566e-02,-2.084667291506867859e-01
-1.596256181848865752e-01,-5.900530215180144200e-02,-2.080739722572721162e-01
-1.589433640491949573e-01,-5.897265512873073323e-02,-2.077701976696658126e-01
-1.581811114964897791e-01,-5.898071485694089677e-02,-2.075245931635876229e-01
-1.574674858537999933e-01,-5.902119774774761130e-02,-2.071527906831502897e-01
-1.567449274770065237e-01,-5.904778070052707495e-02,-2.067856173493588801e-01
-1.560606698188963803e-01,-5.947163595888771415e-02,-2.064163803676495046e-01
-1.552252901049542277e-01,-5.962375843979306200e-02,-2.060357100598516344e-01
-1.543529701277940869e-01,-5.948665197857405662e-02,-2.057461043296603120e-01
-1.535075463005742269e-01,-5.987281578583403263e-02,-2.052439640579935554e-01
-1.528731614182215481e-01,-5.998657557700515230e-02,-2.049926392872649383e-01
-1.520970713237663197e-01,-6.021540668735536617e-02,-2.047404995608791689e-01
-1.513312424733024297e-01,-6.044472542584522490e-02,-2.045510256262198234e-01
-1.506876632039515496e-01,-6.057875526784350928e-02,-2.041812916555675594e-01
-1.502191148098688256e-01,-6.103472220737338194e-02,-2.033884431655037794e-01
-1.503241196600234031e-01,-6.119273387618406890e-02,-2.026594577736819669e-01
-1.496716120031483244e-01,-6.176635234197569435e-02,-2.018571835790793079e-01
-1.487005194960221988e-01,-6.187326075489096855e-02,-2.015208236396133223e-01
-1.476972107219498009e-01,-6.187652980710034445e-02,-2.013812128005639523e-01
-1.466339066120228574e-01,-6.204179159266065557e-02,-2.011564827434591807e-01
-1.454834911889243410e-01,-6.231586518236043037e-02,-2.010828472224833463e-01
-1.443783910185064689e-01,-6.254321925989725361e-02,-2.010005826809337648e-01
-1.433930770925591069e-01,-6.271724336508655018e-02,-2.007761586416503263e-01
-1.426612369682245807e-01,-6.299833128093290657e-02,-2.003381122333584841e-01
-1.420266293489751419e-01,-6.345368807720774829e-02,-1.999018657738731164e-01
-1.410430849974267375e-01,-6.366997585511946500e-02,-1.993778807454376634e-01
-1.401306244075875007e-01,-6.394685318198700674e-02,-1.988696478880080110e-01
-1.394901407817556449e-01,-6.404471679966328157e-02,-1.985028254713125107e-01
-1.384437473236899696e-01,-6.473176613449560524e-02,-1.979747832242115257e-01
-1.376953708542804078e-01,-6.488320172146544440e-02,-1.977820760112666554e-01
-1.367280586388946451e-01,-6.517801295147240825e-02,-1.974633637426984889e-01
-1.357986864619711853e-01,-6.551729258546246104e-02,-1.972444362344044355e-01
-1.352423391905493433e-01,-6.563181380215532545e-02,-1.971292669331763669e-01
-1.344174109039966702e-01,-6.550608414499958787e-02,-1.969329320785642989e-01
-1.328692566237679729e-01,-6.642928116398671978e-02,-1.963736848556322523e-01
